X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-81.39646,29.01259,0,0,73,1.03,,,,,,,,,,,,,,,,,,,,,,
-81.3965,29.01256,0,0,74,1.35,,,,,,,,,,,,,,,,,,,,,,
-81.39656,29.01254,0,0,75,1.57,,,,,,,,,,,,,,,,,,,,,,
-81.39661,29.01252,0,0,76,1.48,,,,,,,,,,,,,,,,,,,,,,
-81.39669,29.01251,0,0,77,1.22,,,,,,,,,,,,,,,,,,,,,,
-81.39676,29.01251,0,0,78,1.88,,,,,,,,,,,,,,,,,,,,,,
-81.39683,29.01251,0,0,79,1.21,,,,,,,,,,,,,,,,,,,,,,
-81.39689,29.0125,0,0,80,1,,,,,,,,,,,,,,,,,,,,,,
-81.39695,29.0125,0,0,81,1,,,,,,,,,,,,,,,,,,,,,,
-81.39702,29.01248,0,0,82,1,,,,,,,,,,,,,,,,,,,,,,
-81.39707,29.01246,0,0,83,1,,,,,,,,,,,,,,,,,,,,,,
-81.39713,29.01242,0,0,84,1,,,,,,,,,,,,,,,,,,,,,,
-81.39717,29.0124,0,0,85,1.05,,,,,,,,,,,,,,,,,,,,,,
-81.39733,29.01236,0,0,86,1,,,,,,,,,,,,,,,,,,,,,,
-81.39738,29.01236,0,0,87,1,,,,,,,,,,,,,,,,,,,,,,
-81.39744,29.01235,0,0,88,1,,,,,,,,,,,,,,,,,,,,,,
-81.3975,29.01234,0,0,89,1,,,,,,,,,,,,,,,,,,,,,,
-81.39755,29.01231,0,0,90,1,,,,,,,,,,,,,,,,,,,,,,
-81.39759,29.01227,0,0,91,1,,,,,,,,,,,,,,,,,,,,,,
-81.39764,29.01223,0,0,92,1,,,,,,,,,,,,,,,,,,,,,,
-81.39769,29.01219,0,0,93,1,,,,,,,,,,,,,,,,,,,,,,
-81.39772,29.01215,0,0,94,1,,,,,,,,,,,,,,,,,,,,,,
-81.39775,29.01211,0,0,95,1.06,,,,,,,,,,,,,,,,,,,,,,
-81.3978,29.01207,0,0,96,1,,,,,,,,,,,,,,,,,,,,,,
-81.39784,29.01203,0,0,97,1.02,,,,,,,,,,,,,,,,,,,,,,
-81.3979,29.01198,0,0,98,1,,,,,,,,,,,,,,,,,,,,,,
-81.39795,29.01195,0,0,99,1,,,,,,,,,,,,,,,,,,,,,,
-81.39799,29.01192,0,0,100,1.48,,,,,,,,,,,,,,,,,,,,,,
-81.39804,29.01188,0,0,101,1.95,,,,,,,,,,,,,,,,,,,,,,
-81.39809,29.01185,0,0,102,1.64,,,,,,,,,,,,,,,,,,,,,,
-81.39814,29.01183,0,0,103,1.3,,,,,,,,,,,,,,,,,,,,,,
-81.3982,29.01181,0,0,104,1.45,,,,,,,,,,,,,,,,,,,,,,
-81.39826,29.01181,0,0,105,1.45,,,,,,,,,,,,,,,,,,,,,,
-81.39832,29.01181,0,0,106,1.45,,,,,,,,,,,,,,,,,,,,,,
-81.39838,29.0118,0,0,107,1.56,,,,,,,,,,,,,,,,,,,,,,
-81.39845,29.01179,0,0,108,1.67,,,,,,,,,,,,,,,,,,,,,,
-81.39852,29.01177,0,0,109,1.87,,,,,,,,,,,,,,,,,,,,,,
-81.3986,29.01174,0,0,110,1.3,,,,,,,,,,,,,,,,,,,,,,
